date,tempf,NoOwls
30-Sep,60.0,0
1-Oct,54.6,1
2-Oct,61.0,0
3-Oct,54.1,0
8-Oct,43.4,2
9-Oct,43.8,2
11-Oct,49.0,9
12-Oct,54.6,2
13-Oct,48.0,5
14-Oct,56.0,6
15-Oct,57.0,5
16-Oct,56.2,3
17-Oct,53.7,4
18-Oct,46.7,8
20-Oct,43.3,5
21-Oct,47.8,10
22-Oct,38.1,7
23-Oct,41.5,4
24-Oct,41.3,6
25-Oct,39.2,4
26-Oct,43.0,4
27-Oct,37.4,9
28-Oct,33.9,14
29-Oct,28.9,9
30-Oct,34.2,10
1-Nov,52.1,5
2-Nov,45.3,0
3-Nov,27.2,7
4-Nov,27.3,8
5-Nov,38.3,8
7-Nov,39.4,0
8-Nov,33.3,2
9-Nov,36.7,0
12-Nov,24.9,3
13-Nov,25.7,1
15-Nov,34.4,2
19-Nov,30.1,4
20-Nov,23.4,1
